Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Fixation Count	Fixation Frequency [count/s]	Fixation Duration Total [ms]	Fixation Duration Average [ms]	Fixation Duration Maximum [ms]	Fixation Duration Minimum [ms]	Fixation Dispersion Total [px]	Fixation Dispersion Average [px]	Fixation Dispersion Maximum [px]	Fixation Dispersion Minimum [px]	Saccade Count	Saccade Frequency [count/s]	Saccade Duration Total [ms]	Saccade Duration Average [ms]	Saccade Duration Maximum [ms]	Saccade Duration Minimum [ms]	Saccade Amplitude Total [°]	Saccade Amplitude Average [°]	Saccade Amplitude Maximum [°]	Saccade Amplitude Minimum [°]	Saccade Velocity Total [°/s]	Saccade Velocity Average [°/s]	Saccade Velocity Maximum [°/s]	Saccade Velocity Minimum [°/s]	Saccade Latency Average [ms]	Blink Count	Blink Frequency [count/s]	Blink Duration Total [ms]	Blink Duration Average [ms]	Blink Duration Maximum [ms]	Blink Duration Minimum [ms]	Left Mouse Click Count	Left Mouse Click Frequency [count/s]	Right Mouse Click Count	Right Mouse Click Frequency [count/s]	Scanpath Length [px]
Trial001	NoImage	0.0	8003.8	Isidora 1	Coral	15	1.9	7478.2	498.5	1719.3	116.8	1398.6	93.2	168.5	16.2	11	1.4	250.4	22.8	33.4	16.7	17.1	1.6	4.5	0.2	676.0	61.5	133.6	14.7	641.0	0	0.0	0.0	-	-	-	0	0.0	0	0.0	3762
Trial001	NoImage	0.0	8608.8	Tamara	CornflowerBlue	12	1.4	7812.4	651.0	1318.6	116.9	1023.3	85.3	132.8	17.0	9	1.0	333.9	37.1	133.6	16.7	36.3	4.0	24.6	0.0	599.3	66.6	184.5	2.1	640.6	2	0.2	250.4	125.2	133.6	116.9	0	0.0	0	0.0	3532
Trial001	NoImage	0.0	8408.8	Vanja	Crimson	10	1.2	7846.0	784.6	2503.4	83.4	1058.1	105.8	174.2	42.6	8	1.0	334.0	41.7	116.9	16.7	26.6	3.3	9.8	0.1	579.0	72.4	126.7	6.9	910.9	1	0.1	183.6	183.6	183.6	183.6	0	0.0	0	0.0	3685
Trial001	NoImage	0.0	16995.4	Vanja novo	Cyan	8	0.5	16460.2	2057.5	6160.0	100.2	1091.5	136.4	214.4	64.5	5	0.3	166.9	33.4	50.1	16.7	20.9	4.2	7.0	1.3	570.8	114.2	140.0	79.6	3764.4	2	0.1	317.3	158.6	167.0	150.3	0	0.0	0	0.0	3555
Trial001	NoImage	0.0	13201.1	Proba	DarkBlue	10	0.8	12575.7	1257.6	7083.2	100.2	1777.6	177.8	336.8	50.4	10	0.8	271.1	27.1	37.4	16.7	27.7	2.8	9.8	0.1	888.7	88.9	294.1	4.2	1326.8	1	0.1	333.8	333.8	333.8	333.8	0	0.0	0	0.0	3136
Trial001	NoImage	0.0	13321.1	Proba novo	DarkCyan	7	0.5	13200.1	1885.7	7975.0	116.8	928.7	132.7	193.8	59.8	6	0.5	116.9	19.5	33.4	16.7	5.1	0.9	1.5	0.4	263.5	43.9	87.8	21.6	784.6	0	0.0	0.0	-	-	-	0	0.0	0	0.0	1413
Trial001	NoImage	0.0	12314.4	Reading1	DarkGoldenrod	10	0.8	11969.3	1196.9	4356.7	133.6	1398.3	139.8	260.6	36.9	8	0.6	183.7	23.0	33.4	16.7	19.6	2.4	5.0	1.0	826.5	103.3	148.8	61.0	1519.1	1	0.1	116.8	116.8	116.8	116.8	0	0.0	0	0.0	4081
Trial001	NoImage	0.0	10754.6	Reading2	DarkGray	10	0.9	10533.9	1053.4	4825.4	100.2	1495.6	149.6	265.2	62.9	9	0.8	200.1	22.2	33.4	16.5	16.3	1.8	4.1	0.0	659.0	73.2	122.6	2.3	1151.9	0	0.0	0.0	-	-	-	0	0.0	0	0.0	3529
Trial001	NoImage	0.0	8898.6	Reading3	DarkGreen	11	1.2	8429.2	766.3	2136.8	100.2	1343.7	122.2	217.2	35.1	8	0.9	217.7	27.2	50.1	16.7	18.3	2.3	6.0	0.5	607.9	76.0	119.5	31.1	1017.7	2	0.2	200.3	100.2	116.9	83.5	0	0.0	0	0.0	3654
Trial001	NoImage	0.0	9679.2	Reading4	DarkKhaki	12	1.2	9181.1	765.1	3054.6	83.5	1528.9	127.4	225.1	52.2	12	1.2	434.1	36.2	133.6	16.7	31.1	2.6	8.9	0.0	893.0	74.4	259.8	1.8	720.8	0	0.0	0.0	-	-	-	0	0.0	0	0.0	3907
Trial001	NoImage	0.0	16567.8	P00	DarkMagenta	13	0.8	15291.2	1176.2	2859.9	149.5	1756.9	135.1	242.5	31.7	7	0.4	205.6	29.4	37.4	18.7	24.5	3.5	6.0	1.3	781.6	111.7	160.0	69.9	1554.7	6	0.4	859.9	143.3	205.6	74.8	0	0.0	0	0.0	4412
Trial001	NoImage	0.0	7903.3	P05	DarkOliveGreen	9	1.1	7562.1	840.2	2086.4	116.8	1304.7	145.0	238.7	23.1	8	1.0	317.2	39.6	100.2	16.7	24.9	3.1	8.9	0.8	629.3	78.7	101.9	46.3	868.0	0	0.0	0.0	-	-	-	0	0.0	0	0.0	3996
Trial001	NoImage	0.0	10054.3	0008	DarkOrange	12	1.2	9682.4	806.9	4106.8	83.4	1707.0	142.3	251.8	61.1	10	1.0	250.3	25.0	50.1	16.6	18.8	1.9	3.8	0.4	706.4	70.6	113.4	21.2	918.1	1	0.1	100.1	100.1	100.1	100.1	0	0.0	0	0.0	3795
Trial001	NoImage	0.0	7525.4	006	DarkOrchid	12	1.6	7195.0	599.6	1635.9	83.5	1758.1	146.5	277.4	30.7	10	1.3	233.7	23.4	33.4	16.7	19.7	2.0	4.7	0.7	776.5	77.6	142.3	43.1	651.1	0	0.0	0.0	-	-	-	0	0.0	0	0.0	4052
Trial001	NoImage	0.0	9987.8	Reading7	DarkRed	8	0.8	9385.0	1173.1	2561.3	130.9	1064.3	133.0	191.2	53.3	8	0.8	373.9	46.7	149.6	18.7	128.9	16.1	76.7	0.0	2120.6	265.1	698.5	0.9	742.5	2	0.2	205.6	102.8	130.9	74.8	0	0.0	0	0.0	3112
Trial001	NoImage	0.0	21667.5	Reading8	DarkSalmon	10	0.5	21031.7	2103.2	6057.0	130.9	1264.0	126.4	241.4	36.5	8	0.4	261.7	32.7	56.1	18.7	28.4	3.5	8.1	0.1	932.5	116.6	432.1	2.8	2470.4	2	0.1	317.8	158.9	186.9	130.8	0	0.0	0	0.0	3180
Trial001	NoImage	0.0	8188.7	Reading9	DarkSeaGreen	12	1.5	7595.6	633.0	1458.4	83.5	1212.8	101.1	208.3	20.8	9	1.1	327.0	36.3	130.9	16.7	23.0	2.6	9.1	0.0	569.5	63.3	107.5	1.7	523.7	2	0.2	205.6	102.8	112.2	93.5	0	0.0	0	0.0	3173
Trial001	NoImage	0.0	8402.1	Reading10	DarkSlateBlue	9	1.1	7461.9	829.1	2170.3	116.8	1244.6	138.3	242.9	39.3	8	1.0	751.1	93.9	300.5	16.7	61.5	7.7	23.3	0.0	1044.7	130.6	623.6	1.1	1073.1	1	0.1	100.2	100.2	100.2	100.2	0	0.0	0	0.0	3516
Trial001	NoImage	0.0	8158.6	Reading11	DarkSlateGray	10	1.2	7829.1	782.9	2336.5	83.5	1397.5	139.8	316.9	11.1	10	1.2	300.7	30.1	33.5	16.7	30.5	3.0	5.6	1.2	1000.5	100.1	166.8	50.0	734.5	0	0.0	0.0	-	-	-	0	0.0	0	0.0	4440
Trial001	NoImage	0.0	8191.9	Reading12	DarkTurquoise	13	1.6	7728.8	594.5	1852.8	83.4	1610.7	123.9	196.7	40.8	10	1.2	233.7	23.4	50.1	16.7	19.8	2.0	6.3	0.0	755.1	75.5	125.0	2.3	717.8	2	0.2	183.6	91.8	100.1	83.5	0	0.0	0	0.0	4066
Trial001	NoImage	0.0	9299.8	Reading13	DarkViolet	11	1.2	8744.4	794.9	2552.7	100.2	1323.3	120.3	223.7	26.5	10	1.1	359.6	36.0	100.2	16.7	34.6	3.5	9.0	0.0	935.4	93.5	291.8	1.9	832.8	1	0.1	166.9	166.9	166.9	166.9	0	0.0	0	0.0	4387
Trial001	NoImage	0.0	10261.5	Reading14	DeepPink	9	0.9	9848.5	1094.3	4136.0	133.5	962.4	106.9	174.3	20.7	7	0.7	301.1	43.0	133.5	16.7	24.8	3.5	12.0	0.3	518.7	74.1	113.4	15.9	1360.4	1	0.1	83.5	83.5	83.5	83.5	0	0.0	0	0.0	3545
Trial001	NoImage	0.0	8638.7	Reading15	DeepSkyBlue	12	1.4	8330.1	694.2	2738.0	116.8	1529.7	127.5	244.6	42.5	11	1.3	300.5	27.3	83.5	16.7	21.2	1.9	4.1	0.1	799.9	72.7	132.3	6.3	686.1	0	0.0	0.0	-	-	-	0	0.0	0	0.0	4066
Trial001	NoImage	0.0	8128.7	Reading16	DimGray	9	1.1	7879.3	875.5	2103.3	133.6	1069.3	118.8	172.0	61.9	8	1.0	233.7	29.2	66.8	16.7	21.5	2.7	8.3	0.2	574.6	71.8	126.4	11.4	889.5	0	0.0	0.0	-	-	-	0	0.0	0	0.0	3430
Trial001	NoImage	0.0	8761.3	Reading17	DodgerBlue	9	1.0	8213.0	912.6	2803.9	83.5	1167.8	129.8	200.5	46.8	8	0.9	534.3	66.8	233.7	16.7	38.5	4.8	16.3	0.2	553.5	69.2	120.4	13.2	961.0	0	0.0	0.0	-	-	-	0	0.0	0	0.0	4376
Trial001	NoImage	0.0	7905.9	Reading18	Firebrick	13	1.6	6777.5	521.3	1736.1	83.5	1251.4	96.3	195.1	35.0	10	1.3	567.7	56.8	116.9	16.7	35.6	3.6	6.3	1.7	901.8	90.2	289.7	38.7	669.6	4	0.5	417.4	104.3	167.0	83.5	0	0.0	0	0.0	4036
Trial001	NoImage	0.0	8186.2	Reading19	ForestGreen	9	1.1	7846.0	871.8	2170.1	83.5	1160.9	129.0	205.4	50.0	7	0.9	183.6	26.2	50.1	16.7	20.1	2.9	7.9	0.5	616.9	88.1	157.4	29.1	1071.2	1	0.1	116.9	116.9	116.9	116.9	0	0.0	0	0.0	3541
Trial001	NoImage	0.0	7792.7	Reading20	Gainsboro	13	1.7	6610.5	508.5	1285.3	83.4	1497.3	115.2	193.3	48.4	8	1.0	300.6	37.6	133.5	16.7	22.1	2.8	9.0	0.3	579.3	72.4	102.2	16.2	817.8	4	0.5	667.5	166.9	250.4	116.7	0	0.0	0	0.0	3722
Trial001	NoImage	0.0	7939.9	Reading21	Gold	12	1.5	7579.0	631.6	1986.6	83.5	1312.4	109.4	204.8	41.3	12	1.5	350.6	29.2	100.2	16.7	23.4	1.9	8.2	0.6	763.2	63.6	82.8	34.2	569.1	0	0.0	0.0	-	-	-	0	0.0	0	0.0	3807
Trial001	NoImage	0.0	9143.3	Reading22	Goldenrod	13	1.4	8714.1	670.3	2587.7	83.5	1477.2	113.6	254.4	13.6	11	1.2	333.8	30.3	116.8	16.7	22.7	2.1	7.5	0.0	686.6	62.4	120.3	1.3	746.2	0	0.0	0.0	-	-	-	0	0.0	0	0.0	3977
Trial001	NoImage	0.0	8465.5	Reading23	Gray	11	1.3	7827.9	711.6	1782.1	102.1	1147.2	104.3	194.5	27.4	8	0.9	218.3	27.3	34.0	16.7	16.8	2.1	3.3	0.1	588.2	73.5	118.6	7.4	927.5	2	0.2	350.5	175.3	217.0	133.6	0	0.0	0	0.0	3249
Trial001	NoImage	0.0	8471.5	Reading24	Green	11	1.3	7896.1	717.8	1686.2	100.1	1327.0	120.6	246.6	40.3	9	1.1	417.3	46.4	100.1	16.7	28.1	3.1	6.1	0.0	547.8	60.9	99.4	1.5	805.5	1	0.1	100.2	100.2	100.2	100.2	0	0.0	0	0.0	3783
Trial001	NoImage	0.0	7730.4	Reading25	GreenYellow	9	1.2	7261.6	806.8	1786.1	83.5	1286.7	143.0	219.8	85.8	8	1.0	450.7	56.3	116.9	16.7	33.4	4.2	9.4	0.3	469.2	58.7	140.8	16.2	822.7	0	0.0	0.0	-	-	-	0	0.0	0	0.0	3679
Trial001	NoImage	0.0	8219.2	Reading26	HotPink	12	1.5	7812.6	651.1	2303.8	83.5	1099.6	91.6	202.1	35.5	10	1.2	317.2	31.7	116.9	16.7	24.4	2.4	10.3	0.6	664.1	66.4	94.6	37.8	706.7	0	0.0	0.0	-	-	-	0	0.0	0	0.0	3956
